brick_id,x,y,z,length,width,height,orientation
185,0,300,1600,200,100,100,X-aligned
186,0,300,1700,200,100,100,X-aligned
187,0,300,1800,200,100,100,X-aligned
188,0,300,1900,200,100,100,X-aligned
189,0,300,2000,200,100,100,X-aligned
190,0,300,2100,200,100,100,X-aligned
191,0,300,2200,200,100,100,X-aligned
192,0,300,2300,200,100,100,X-aligned
193,0,300,2400,200,100,100,X-aligned
194,0,300,2500,200,100,100,X-aligned
195,0,300,2600,200,100,100,X-aligned
196,0,300,2700,200,100,100,X-aligned
197,0,300,2800,200,100,100,X-aligned
198,0,300,2900,200,100,100,X-aligned
199,0,300,3000,200,100,100,X-aligned
200,0,300,3100,200,100,100,X-aligned
201,0,300,3200,200,100,100,X-aligned
202,0,300,3300,200,100,100,X-aligned
203,0,300,3400,200,100,100,X-aligned
204,0,300,3500,200,100,100,X-aligned
205,0,300,3600,200,100,100,X-aligned
206,0,300,3700,200,100,100,X-aligned
207,0,300,3800,200,100,100,X-aligned
208,0,300,3900,200,100,100,X-aligned
209,0,300,4000,200,100,100,X-aligned
210,0,300,4100,200,100,100,X-aligned
211,0,300,4200,200,100,100,X-aligned
212,0,300,4300,200,100,100,X-aligned
213,0,300,4400,200,100,100,X-aligned
214,0,300,4500,200,100,100,X-aligned
215,0,300,4600,200,100,100,X-aligned
216,0,300,4700,200,100,100,X-aligned
217,0,300,4800,200,100,100,X-aligned
218,0,300,4900,200,100,100,X-aligned
219,0,300,5000,200,100,100,X-aligned
220,0,300,5100,200,100,100,X-aligned
221,0,300,5200,200,100,100,X-aligned
222,0,300,5300,200,100,100,X-aligned
223,0,300,5400,200,100,100,X-aligned
224,0,300,5500,200,100,100,X-aligned
225,0,400,0,200,100,100,X-aligned
226,0,400,100,200,100,100,X-aligned
227,0,400,200,200,100,100,X-aligned
228,0,400,300,200,100,100,X-aligned
229,0,400,400,200,100,100,X-aligned
230,0,400,500,200,100,100,X-aligned
231,0,400,600,200,100,100,X-aligned
232,0,400,700,200,100,100,X-aligned
233,0,400,800,200,100,100,X-aligned
234,0,400,900,200,100,100,X-aligned
235,0,400,1000,200,100,100,X-aligned
236,0,400,1100,200,100,100,X-aligned
237,0,400,1200,200,100,100,X-aligned
238,0,400,1300,200,100,100,X-aligned
239,0,400,1400,200,100,100,X-aligned
240,0,400,1500,200,100,100,X-aligned
241,0,400,1600,200,100,100,X-aligned
242,0,400,1700,200,100,100,X-aligned
243,0,400,1800,200,100,100,X-aligned
244,0,400,1900,200,100,100,X-aligned
245,0,400,2000,200,100,100,X-aligned
246,0,400,2100,200,100,100,X-aligned
247,0,400,2200,200,100,100,X-aligned
248,0,400,2300,200,100,100,X-aligned
249,0,400,2400,200,100,100,X-aligned
250,0,400,2500,200,100,100,X-aligned
251,0,400,2600,200,100,100,X-aligned
252,0,400,2700,200,100,100,X-aligned
253,0,400,2800,200,100,100,X-aligned
254,0,400,2900,200,100,100,X-aligned
255,0,400,3000,200,100,100,X-aligned
256,0,400,3100,200,100,100,X-aligned
257,0,400,3200,200,100,100,X-aligned
258,0,400,3300,200,100,100,X-aligned
259,0,400,3400,200,100,100,X-aligned
260,0,400,3500,200,100,100,X-aligned
261,0,400,3600,200,100,100,X-aligned
262,0,400,3700,200,100,100,X-aligned
263,0,400,3800,200,100,100,X-aligned
264,0,400,3900,200,100,100,X-aligned
265,0,400,4000,200,100,100,X-aligned
266,0,400,4100,200,100,100,X-aligned
267,0,400,4200,200,100,100,X-aligned
268,0,400,4300,200,100,100,X-aligned
269,0,400,4400,200,100,100,X-aligned
270,0,400,4500,200,100,100,X-aligned
271,0,400,4600,200,100,100,X-aligned
272,0,400,4700,200,100,100,X-aligned
273,0,400,4800,200,100,100,X-aligned
274,0,400,4900,200,100,100,X-aligned
275,0,400,5000,200,100,100,X-aligned
276,0,400,5100,200,100,100,X-aligned
277,0,400,5200,200,100,100,X-aligned
278,0,400,5300,200,100,100,X-aligned
279,0,400,5400,200,100,100,X-aligned
280,0,400,5500,200,100,100,X-aligned
281,0,500,0,200,100,100,X-aligned
282,0,500,100,200,100,100,X-aligned
283,0,500,200,200,100,100,X-aligned
284,0,500,300,200,100,100,X-aligned
285,0,500,400,200,100,100,X-aligned
286,0,500,500,200,100,100,X-aligned
287,0,500,600,200,100,100,X-aligned
288,0,500,700,200,100,100,X-aligned
289,0,500,800,200,100,100,X-aligned
290,0,500,900,200,100,100,X-aligned
291,0,500,1000,200,100,100,X-aligned
292,0,500,1100,200,100,100,X-aligned
293,0,500,1200,200,100,100,X-aligned
294,0,500,1300,200,100,100,X-aligned
295,0,500,1400,200,100,100,X-aligned
296,0,500,1500,200,100,100,X-aligned
297,0,500,1600,200,100,100,X-aligned
298,0,500,1700,200,100,100,X-aligned
299,0,500,1800,200,100,100,X-aligned
300,0,500,1900,200,100,100,X-aligned
301,0,500,2000,200,100,100,X-aligned
302,0,500,2100,200,100,100,X-aligned
303,0,500,2200,200,100,100,X-aligned
304,0,500,2300,200,100,100,X-aligned
305,0,500,2400,200,100,100,X-aligned
306,0,500,2500,200,100,100,X-aligned
307,0,500,2600,200,100,100,X-aligned
308,0,500,2700,200,100,100,X-aligned
309,0,500,2800,200,100,100,X-aligned
310,0,500,2900,200,100,100,X-aligned
311,0,500,3000,200,100,100,X-aligned
312,0,500,3100,200,100,100,X-aligned
313,0,500,3200,200,100,100,X-aligned
314,0,500,3300,200,100,100,X-aligned
315,0,500,3400,200,100,100,X-aligned
316,0,500,3500,200,100,100,X-aligned
317,0,500,3600,200,100,100,X-aligned
318,0,500,3700,200,100,100,X-aligned
319,0,500,3800,200,100,100,X-aligned
320,0,500,3900,200,100,100,X-aligned
321,0,500,4000,200,100,100,X-aligned
322,0,500,4100,200,100,100,X-aligned
323,0,500,4200,200,100,100,X-aligned
324,0,500,4300,200,100,100,X-aligned
325,0,500,4400,200,100,100,X-aligned
326,0,500,4500,200,100,100,X-aligned
327,0,500,4600,200,100,100,X-aligned
328,0,500,4700,200,100,100,X-aligned
329,0,500,4800,200,100,100,X-aligned
330,0,500,4900,200,100,100,X-aligned
331,0,500,5000,200,100,100,X-aligned
332,0,500,5100,200,100,100,X-aligned
333,0,500,5200,200,100,100,X-aligned
334,0,500,5300,200,100,100,X-aligned
335,0,500,5400,200,100,100,X-aligned
336,0,500,5500,200,100,100,X-aligned
337,0,600,0,200,100,100,X-aligned
338,0,600,100,200,100,100,X-aligned
339,0,600,200,200,100,100,X-aligned
340,0,600,300,200,100,100,X-aligned
341,0,600,400,200,100,100,X-aligned
342,0,600,500,200,100,100,X-aligned
343,0,600,600,200,100,100,X-aligned
344,0,600,700,200,100,100,X-aligned
345,0,600,800,200,100,100,X-aligned
346,0,600,900,200,100,100,X-aligned
347,0,600,1000,200,100,100,X-aligned
348,0,600,1100,200,100,100,X-aligned
349,0,600,1200,200,100,100,X-aligned
350,0,600,1300,200,100,100,X-aligned
351,0,600,1400,200,100,100,X-aligned
352,0,600,1500,200,100,100,X-aligned
353,0,600,1600,200,100,100,X-aligned
354,0,600,1700,200,100,100,X-aligned
355,0,600,1800,200,100,100,X-aligned
356,0,600,1900,200,100,100,X-aligned
357,0,600,2000,200,100,100,X-aligned
358,0,600,2100,200,100,100,X-aligned
359,0,600,2200,200,100,100,X-aligned
360,0,600,2300,200,100,100,X-aligned
361,0,600,2400,200,100,100,X-aligned
362,0,600,2500,200,100,100,X-aligned
363,0,600,2600,200,100,100,X-aligned
364,0,600,2700,200,100,100,X-aligned
365,0,600,2800,200,100,100,X-aligned
366,0,600,2900,200,100,100,X-aligned
367,0,600,3000,200,100,100,X-aligned
368,0,600,3100,200,100,100,X-aligned
369,0,600,3200,200,100,100,X-aligned
370,0,600,3300,200,100,100,X-aligned
371,0,600,3400,200,100,100,X-aligned
372,0,600,3500,200,100,100,X-aligned
373,0,600,3600,200,100,100,X-aligned
